Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Sensing, processing and application of EMG signals for HAL (Hybrid Assistive Limb);"T. George; K. Shalu George; K. S. Sivanandan";"National Institute of Technology Calicut, Kerala, India; NA; National Institute of Technology Calicut, Calicut, Kerala, IN";International Conference on Sustainable Energy and Intelligent Systems (SEISCON 2011);02. Feb 12;2011;;;749;753;Hybrid Assistive Limb (HAL) is an assistive technology device for supporting physically disabled persons by understanding the percentage of their disability. This work aims to design and develop a HAL based on Electromyogram (EMG) signals. The EMG signal is a biomedical signal that measures electrical currents generated by muscles. These signals can be used for clinical/biomedical applications if advanced methods for detection, decomposition, processing, and classification are available. The pattern of the EMG signal produced may differ depending on the activity of the muscle movement. Four types of biceps muscle activities are identified using the signal pattern generated from raw surface EMG data. Threshold detection method and pattern recognition method were carried out and it is found that pattern recognition method is more generalized method for classification as threshold method is user dependent. The overall classification rate of about (80-83) % obtained using LDA and a classification rate of more than 90% obtained using ANN. Control commands for a stepper motor used for driving artificial limb are developed from the classified EMG signal and stepper motor control is achieved through computer parallel port.;;978-9-38043-000-3;10.1049/cp.2011.0463;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143412;"Electromyography;Threshold Detection;Pattern Recognition";;;8;;;;02. Feb 12;;;IET;IET Conferences
A Novel Postprocessing Method for Robust Myoelectric Pattern-Recognition Control Through Movement Pattern Transition Detection;"B. Yu; X. Zhang; L. Wu; X. Chen; X. Chen";"Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China";IEEE Transactions on Human-Machine Systems;15. Jan 20;2020;50;1;32;41;Pattern-recognition-based myoelectric control systems are not yet widely available due to their limited robustness in real-life situations. Some postprocessing methods were introduced to improve the robustness in previous studies, but there is lack of investigation into movement transition phases. This article presents a novel postprocessing method based on movement pattern transition (MPT) detection. An image-based index is used to quantify the similarity of adjacent feature matrices from high-density surface electromyogram (EMG) signals. MPT detection is implemented by applying a double threshold to the calculated index. The proposed postprocessing method is used to rectify the EMG pattern recognition decisions from the classifier by incorporating the detected information. Two representative testing schemes are used to verify the robustness of the proposed method against force level variation and consecutive nonstop task performance. The proposed method achieved mean classification accuracy improvements of 7.33% and 10.91% with respect to the baseline performance of a raw classifier (without any postprocessing) in the two testing schemes. It also outperformed other common postprocessing methods (p < 0.05). Considering both the accuracy improvement and time efficiency for rapid responses to MPT, the proposed method could be a potential option for postprocessing to enhance the robustness of myoelectric control.;2168-2305;;10.1109/THMS.2019.2953262;"National Basic Research Program of China (973 Program)(grant numbers:2018YFB1005001); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936336;"Human–computer interface;movement pattern transition (MPT);myoelectric control;pattern recognition;postprocessing";"Task analysis;Electromyography;Robustness;Pattern recognition;Indexes;Force;Electrodes";;14;;38;IEEE;18 Dec 2019;;;IEEE;IEEE Journals
SEMG-Based Human In-Hand Motion Recognition Using Nonlinear Time Series Analysis and Random Forest;"Y. Xue; X. Ji; D. Zhou; J. Li; Z. Ju";"School of Electrical and Mechanical Engineering, Pingdingshan University, Pingdingshan, China; School of Automation, Shenyang Aerospace University, Shenyang, China; School of Computing, University of Portsmouth, Portsmouth, U.K.; School of Information Engineering, Nanchang University, Nanchang, China; School of Computing, University of Portsmouth, Portsmouth, U.K.";IEEE Access;16 Dec 2019;2019;7;;176448;176457;As a novel and non-invasive sensing technology, surface electromyography (SEMG) can record the bioelectrical signals on the skin surface quickly and effectively, and thus has been widely used in human motion assessment in fields like medical rehabilitation and human-computer interaction. In this paper, an SEMG-based in-hand motion recognition system is proposed to recognize ten kinds of popular hand motions. According to the human common movements in performing in-hand object manipulations, ten sets of in-hand motions, including translation, transfer, and rotation, are designed, and then a nonlinear time series analysis method of SEMG signal processing is proposed to better capture the nonlinearity of these motions. The detailed analysis method of the nonlinear data is presented, and the experimental results, including human in-hand motion recognition result, motion recognition results of different subjects, and comparison results of different algorithms performance, are analyzed and discussed in detail. Experimental results illustrate that the human in-hand motion recognition system proposed in this paper can effectively recognize these different in-hand movements with a better performance than other popular methods.;2169-3536;;10.1109/ACCESS.2019.2957668;"Pingdingshan University(grant numbers:PXY-BSQD-2019011); DREAM project of EU FP7-ICT(grant numbers:611391); National Natural Science Foundation of China(grant numbers:51575412,51575338,51575407); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8922692;"Empirical mode decomposition;maximal Lyapunov exponent;random forest;surface electromyography";"Electrodes;Feature extraction;Muscles;Forestry;Electromyography;Data acquisition;Frequency-domain analysis";;13;;27;CCBY;4 Dec 2019;;;IEEE;IEEE Journals
Pattern recognition with surface EMG signal based wavelet transformation;"U. Sahin; F. Sahin";"Electrical and Microelectronic Engineering, Rochester Institute of Technology, Rochester, NY, USA; Electrical and Microelectronic Engineering, Rochester Institute of Technology, Rochester, NY, USA";2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC);13 Dec 2012;2012;;;295;300;EMG based input device is a natural means of human computer interface (HCI) because the electrical activity induced by the human's arm muscle movements can be interpreted and transformed into computer's control commands. In this paper, we describe an approach for classifying electromyography (EMG) signals using a multilayer perceptron neural network (MLP) and Bayesian classifier (BC) with the wavelet transformation technique for feature selection to discriminate 6 classes of motions to control a mouse. Wavelet Transformation (WT) was applied to raw EMG data and in order to decrease the dimension of the feature sets, principle component analysis (PCA) and sequential forward selection (SFS) were utilized.;1062-922X;978-1-4673-1714-6;10.1109/ICSMC.2012.6377717;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6377717;"EMG;Wavelet transformation;Neural Network;PCA;Bayesian Classification;Human Computer Interface;Mouse Control";"Discrete wavelet transforms;Electromyography;Principal component analysis;Band pass filters;Low pass filters";;19;1;26;IEEE;13 Dec 2012;;;IEEE;IEEE Conferences
A Bi-Directional LSTM Network for Estimating Continuous Upper Limb Movement From Surface Electromyography;"C. Ma; C. Lin; O. W. Samuel; W. Guo; H. Zhang; S. Greenwald; L. Xu; G. Li";"College of Medicine and Biological Information Engineering, Northeastern University, Shenyang, Liaoning, China; Shenzhen Institute of Advanced Technology (SIAT), CAS Key Laboratory of Human-Machine Intelligence-Synergy Systems, Chinese Academy of Sciences (CAS), and the SIAT Branch, Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China; Shenzhen Institute of Advanced Technology (SIAT), CAS Key Laboratory of Human-Machine Intelligence-Synergy Systems, Chinese Academy of Sciences (CAS), and the SIAT Branch, Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China; Shenzhen Institute of Advanced Technology (SIAT), CAS Key Laboratory of Human-Machine Intelligence-Synergy Systems, Chinese Academy of Sciences (CAS), and the SIAT Branch, Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China; Shenzhen Institute of Advanced Technology (SIAT), CAS Key Laboratory of Human-Machine Intelligence-Synergy Systems, Chinese Academy of Sciences (CAS), and the SIAT Branch, Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China; Queen Mary University of London, London, U.K.; College of Medicine and Biological Information Engineering, Northeastern University, Shenyang, Liaoning, China; Shenzhen Institute of Advanced Technology (SIAT), CAS Key Laboratory of Human-Machine Intelligence-Synergy Systems, Chinese Academy of Sciences (CAS), and the SIAT Branch, Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen, China";IEEE Robotics and Automation Letters;29. Jul 21;2021;6;4;7217;7224;In human-machine interaction systems, continuous movement estimation methods occupy an important position because they are more natural and intuitive than pattern-recognition methods. Essentially, arm position is decided by the shoulder and elbow joint angles. However, the various deformations of muscles around the shoulder and elbow often lead to difficulties in sensor fixation, which results in a loss of synchronization between the surface electromyography (sEMG) signals and joint angles. In order to accurately estimate movement angles using sEMG in situations where the sEMG is not synchronized with joint angles, we utilized a bi-directional long short-term memory (Bi-LSTM) network rather than other deep learning methods to estimate non-dominant arm movements, based on the sEMG signal from the dominant arm. This estimation protocol was designed to avoid a multiplicity of sensors and to simulate more complicated loss of synchronization problems). The performance of the Bi-LSTM was compared with multilayer perceptrons (MLPs), convolutional neural networks (CNNs), and a long short-term memory network (LSTM). The Pearson correlation coefficient (cc) between the estimated and target joint angle sequences was calculated to evaluate the performance of each neural network. The Wilcoxon signed-rank results showed that the Bi-LSTM model significantly outperformed the MLP, CNN, and LSTM models (tested with completely untrained newly recorded free movements).;2377-3766;;10.1109/LRA.2021.3097272;"National Natural Science Foundation of China(grant numbers:#U1613222,#61773110,#82050410452,#81850410557,#81927804,#U1913601); Shenzhen Basic Research(grant numbers:#SGLH20180625142402055,#JCYJ20170413152804728,#JCYJ20180507182508857); Fundamental Research Funds for the Central Universities(grant numbers:#N181906001,#N2119008); Hong Kong ITF Guangdong-Hong Kong Technology Cooperation Funding Scheme(grant numbers:GHP/055/18SZ); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9484719;"Machine learning for robot control;continuous movement estimation;surface electromyography;free movements test";"Shoulder;Elbow;Synchronization;Robot sensing systems;Estimation;Protocols;Electromyography";;31;;37;IEEE;14. Jul 21;;;IEEE;IEEE Journals
Phantom Movement Training Without Classifier Performance Feedback Improves Mobilization Ability While Maintaining EMG Pattern Classification;"O. Rossel; M. Chateaux; N. Jarrassé; F. Vérité; A. Touillet; C. Nicol; J. Paysant; J. B. De Graaf";"Institute of Movement Sciences, Aix Marseille Université, CNRS ISM, Marseille, France; Aix-Marseille University, CNRS, ISM,, Marseille, France; CNRS, ISIR/INSERM, Sorbonne University, Paris, France; CNRS, ISIR/INSERM, Sorbonne University, Paris, France; IRR, UGECAM Nord-Est, Nancy, France; Aix-Marseille University, CNRS, ISM,, Marseille, France; IRR, UGECAM Nord-Est, Nancy, France; Aix-Marseille University, CNRS, ISM,, Marseille, France";IEEE Transactions on Medical Robotics and Bionics;23. Feb 23;2023;5;1;133;142;Voluntary phantom movements are systematically associated with muscle contractions in the residual limb. These latter are specific to the type of movement and can be classified by pattern recognition algorithms. However, phantom mobility generates fatigue that could impact classification metrics. This study explored whether daily phantom movement training at home with no other feedback than inherent somatosensory information can impact the classification success rate. Kinematics and muscle activity were compared between before and after a two-month home training in six major upper limb amputees. Surface EMG patterns were classified to quantify a potential change in the features space with training. Our results showed that this type of training induces faster, smoother, and richer phantom mobility. However, classification metrics did not change with training. When including the new types of movements achievable after training, accuracy did not decrease, indicating that muscle activation patterns associated with these movements were sufficiently different not to interfere with the already existing movement classes. Thus, although phantom training with only somatosensory feedback increases the overall phantom movement capacity, it does not increase the classification success rate. Yet, it is possible that paired with other forms of feedback, phantom training could improve this success rate.;2576-3202;;10.1109/TMRB.2023.3237918;"Region Provence-Alpes-Côte d’Azur(grant numbers:2012-07072); French National Center of Scientific Research (Defisens, Auton); French National Agency of Research(grant numbers:ANR-15-CE19-0008-01); A*Midex International (PhantomTraining); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10024109;"Amputation;EMG-classification;feedback;phantom movement training";"Training;Phantoms;Prognostics and health management;Muscles;Electromyography;Kinematics;Recording";;;;39;IEEE;20. Jan 23;;;IEEE;IEEE Journals
Discrimination of EMG and acceleration measurements between patients with Parkinson's disease and healthy persons;"S. M. Rissanen; M. Kankaanpää; M. P. Tarvainen; A. Meigal; J. Nuutinen; P. Jäkälä; O. Airaksinen; P. A. Karjalainen";"Department of Physical and Rehabilitation Medicine, Kuopio University Hospital, Kuopio, Finland; Department of Physical and Rehabilitation Medicine, Tampere University Hospital, Tampere, Finland; Department of Physics and Mathematics, University of Eastern Finland, Kuopio, Finland; Petrozavodsk State University, Petrozavodsk, Russian Federation; Department of Neurology, Kuopio University Hospital, Kuopio, Finland; Finnish Brain Research and Rehabilitation Center Neuron, Kuopio, Finland; Department of Physical and Rehabilitation Medicine, Kuopio University Hospital, Kuopio, Finland; Department of Physics and Mathematics, University of Eastern Finland, Kuopio, Finland";2010 Annual International Conference of the IEEE Engineering in Medicine and Biology;11. Nov 10;2010;;;4878;4881;In this paper, we examine the potential of electromyographic (EMG) and acceleration measurements in discriminating patients with Parkinson's disease (PD) from healthy persons. Two types of muscle contractions are examined: static contractions of biceps brachii muscles and elbow extension movements. Twelve features are extracted from static and ten features from extension measurements. These features describe signal morphology and nonlinear characteristics, power spreading in EMG wavelet scalograms and spectral coherence. Principal component approach is applied separately for static and extension trial to reduce the number of features before discrimination. The discrimination between subjects is done in a two-dimensional space by applying cluster analysis to the best discriminating principal components. The discrimination power of the used method was estimated with EMG and acceleration data measured from 56 patients with PD and 59 healthy controls. In the cluster analysis, three clusters were formed: one cluster with most (85%) of the healthy persons and two clusters with 80% of patients. Patients were divided into two clusters based on their type of motor disability (problems during movement and/or static contraction). Discrimination results show that EMG and acceleration measurements are potential for discriminating patients with PD from healthy persons. Furthermore, they have potential in the objective clinical assessment of PD.;1558-4615;978-1-4244-4123-5;10.1109/IEMBS.2010.5627267;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5627267;;"Electromyography;Acceleration;Muscles;Feature extraction;Parkinson's disease;Accelerometers;Elbow";"Acceleration;Algorithms;Diagnosis, Computer-Assisted;Diagnosis, Differential;Discriminant Analysis;Electromyography;Humans;Muscle, Skeletal;Parkinson Disease;Parkinson Disease;Physical Examination;Reproducibility of Results;Sensitivity and Specificity";3;;10;IEEE;11. Nov 10;;;IEEE;IEEE Conferences
Pattern Recognition of Sleep in Rodents Using Piezoelectric Signals Generated by Gross Body Movements;"A. E. Flores; J. E. Flores; H. Deshpande; J. A. Picazo; X. Xie; P. Franken; H. C. Heller; D. A. Grahn; B. F. O'Hara";"Department of Electrical Engineering, University of Stanford, Stanford, CA, USA; Genentech, Inc., South San Francisco, CA, USA; Department of Electrical Engineering, University of Stanford, Stanford, CA, USA; Department of Electrical Engineering, University of Stanford, Stanford, CA, USA; Department of Biological Sciences, University of Stanford, Stanford, CA, USA; Department of Biological Sciences, University of Stanford, Stanford, CA, USA; Department of Biological Sciences, University of Stanford, Stanford, CA, USA; Department of Biological Sciences, University of Stanford, Stanford, CA, USA; Department of Biology, University of Kentucky, Lexington, KY, USA";IEEE Transactions on Biomedical Engineering;22. Jan 07;2007;54;2;225;233;Current research on sleep using experimental animals is limited by the expense and time-consuming nature of traditional EEG/EMG recordings. We present here an alternative, noninvasive approach utilizing piezoelectric films configured as highly sensitive motion detectors. These film strips attached to the floor of the rodent cage produce an electrical output in direct proportion to the distortion of the material. During sleep, movement associated with breathing is the predominant gross body movement and, thus, output from the piezoelectric transducer provided an accurate respiratory trace during sleep. During wake, respiratory movements are masked by other motor activities. An automatic pattern recognition system was developed to identify periods of sleep and wake using the piezoelectric generated signal. Due to the complex and highly variable waveforms that result from subtle postural adjustments in the animals, traditional signal analysis techniques were not sufficient for accurate classification of sleep versus wake. Therefore, a novel pattern recognition algorithm was developed that successfully distinguished sleep from wake in approximately 95% of all epochs. This algorithm may have general utility for a variety of signals in biomedical and engineering applications. This automated system for monitoring sleep is noninvasive, inexpensive, and may be useful for large-scale sleep studies including genetic approaches towards understanding sleep and sleep disorders, and the rapid screening of the efficacy of sleep or wake promoting drugs;1558-2531;;10.1109/TBME.2006.886938;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4067108;"Activity;automated;behavior;classification;instrumentation;mice;noninvasive;respiration;wake";"Pattern recognition;Sleep;Rodents;Signal generators;Animals;Piezoelectric films;Electroencephalography;Electromyography;Motion detection;Detectors";"Animals;Artificial Intelligence;Mice;Mice, Inbred AKR;Mice, Inbred C57BL;Mice, Inbred DBA;Movement;Pattern Recognition, Automated;Polysomnography;Respiratory Mechanics;Sleep;Transducers";102;;24;IEEE;22. Jan 07;;;IEEE;IEEE Journals
Fuzzy C-Means Clustering for Motion Capture Tennis Time-Series Data;"M. Skublewska-Paszkowska; P. Powroznik; P. Karczmarek; E. Lukasik; J. Smolka";"Department of Computer Science, Lublin University of Technology, Lublin, Poland; Department of Computer Science, Lublin University of Technology, Lublin, Poland; Department of Computational Intelligence, Lublin University of Technology, Lublin, Poland; Department of Computer Science, Lublin University of Technology, Lublin, Poland; Department of Computer Science, Lublin University of Technology, Lublin, Poland";IEEE Access;;2024;PP;99;1;1;Creating the proper player profile in training is crucial for athlete development. Although there is a great number of studies concerning this subject, there is no solution that would allow to model it in a convenient way. Applying fuzzy modelling clustering can be useful in this field. Moreover, the application of sophisticated acquisition techniques, like motion capture systems, allow ones to obtain accurate data corresponding to athlete’s movement in the form of a multivariate time series. In this study, the authors undertook the task of clustering the most important at the stage of training tennis strokes such as: Forehand, backhand, and volley. They were represented as trajectories of the tennis racket based on four retro-reflective markers attached to it. The Fuzzy C-Means algorithm, which utilizes the dynamic time warping-based distance to cluster analysis of tennis strokes, has been applied with highest success to group various kinds of movement of tennis players. The comprehensive analysis included numerous separate tennis moves and their groups. The clustering have been performed for: 1) separated tennis moves, 2) grouped forehand and backhand groundstrokes, and 3) all analysed tennis movements. The obtained results allowed creation of the reference stroke model, which can be used for further examination of the tennis players’ performance. The Fuzzy C-Means method has been thoroughly compared with K-Means, Gausian Mixture, and Birch method. The following evaluation metrics have been applied: Rand Index, Adjusted Rand Index, Normalized Mutual Information, Silhouette score, Davies-Bouldin Index and Calinski-Harabasz score.;2169-3536;;10.1109/ACCESS.2024.3463201;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10683699;"Birch clustering;Dynamic time warping;Fuzzy C-Means;Gaussian Mixture clustering;K-Means clustering;tennis forehand;tennis backhand;tennis volley;time series clustering";"Sports;Clustering algorithms;Time series analysis;Motion capture;Sports equipment;Data models;Accuracy;Gaussian processes";;;;;CCBYNCND;18. Sep 24;;;IEEE;IEEE Early Access Articles
Classification of upper limb motions in stroke using high density surface EMG;"X. Zhang; P. Zhou";"Rehabilitation Institute of Chicago, Chicago, IL, USA; Department of Physical, Medicine and Rehabilitation of Northwestern University, Chicago, IL, USA";2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society;1 Dec 2011;2011;;;3367;3370;Myoelectric pattern recognition techniques have been developed to infer user's intention of performing different functional movements, which can be used to provide volitional control of assisted devices for people with disabilities. The pattern recognition based myoelectric control systems have rarely been designed for stroke survivors. Aiming at developing such a system for stroke rehabilitation, this study assessed the myoelectric control information remained in the affected limb of stroke survivors using high density surface electromyogram (EMG) recording and pattern recognition techniques. The experimental results from 3 stroke subjects indicate that high accuracies (92.42% ± 5.51%) can be achieved in classification of 20 different intended movements of the affected limb. This study confirms that substantial motor control command can be extracted from paretic muscles of stroke survivors, potentially facilitating their rehabilitation.;1558-4615;978-1-4577-1589-1;10.1109/IEMBS.2011.6090912;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6090912;;"Electromyography;Electrodes;Muscles;Indexes;Accuracy;Thumb;Feature extraction";"Arm;Electromyography;Humans;Stroke;Stroke";7;;8;IEEE;1 Dec 2011;;;IEEE;IEEE Conferences
Estimating the instantaneous wrist flexion angle from multi-channel surface EMG of forearm muscles;"B. J. Borbély; P. Szolgay";"Faculty of Information Technology, Pázmány Péter Catholic University, Budapest; Faculty of Information Technology, Pázmány Péter Catholic University, Budapest";2013 IEEE Biomedical Circuits and Systems Conference (BioCAS);12 Dec 2013;2013;;;77;80;A pattern recognition based classification method is proposed to estimate wrist flexion angles from electrical activities of forearm muscles. Spatial movement data and multi-channel myoelectric signals from forearm muscles were collected experimentally during periodic wrist flexion and extension movements using an ultrasound based movement analyser system. The recorded marker coordinates were transformed into joint angles using OpenSim, an open source simulation tool for biomechanical analysis. EMG data were segmented according to specific ranges of the calculated wrist flexion angle to form different classes for pattern recognition. The parameter space of the used classification algorithm was explored with a selected subset of values to find the optimal parameter vector giving maximal classification performance.;2163-4025;978-1-4799-1471-5;10.1109/BioCAS.2013.6679643;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6679643;;"Wrist;Electromyography;Muscles;Standards;Pattern recognition;Biological system modeling;Vectors";;4;;10;IEEE;12 Dec 2013;;;IEEE;IEEE Conferences
Investigating the pattern recognition based sEMG control scheme for long-term use;"S. Ding; M. Guo; W. Ji; C. Zhang; X. Sun; C. Zhang";"School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi University, Linyi, China";2019 Chinese Automation Congress (CAC);13. Feb 20;2019;;;1846;1850;Surface electromyography (sEMG) plays a very important role in the human-machine interaction field. The application of pattern recognition based sEMG control scheme has shown massive potential in natural and robust myoelectric control. The classical pattern recognition model for myoelectric control includes two independent processes: training process and testing process. The rules creating the classical classifiers remain unchanged. Most powered devices based on the sEMG signals use the classical pattern recognition model to identify the users' upper-limb movement commands. Towards myoelectric practical application in future, identifying human movements stably and accurately for a long period of time is more meaningful. In this study, two experiment protocols for sEMG measurement are adopted. We investigate the recognition effect of classical pattern recognition model for myoelectric control systems in the shortterm and long-term use respectively. Three classical classification algorithms are applied in our investigation. Experiment results show the classical pattern recognition model works well at the early stage. However, there appears the declining tendency of recognition accuracy over time in the both experiment protocols. The results presented in this study can contribute to investigating the practical use of pattern recognition based sEMG control scheme.;2688-0938;978-1-7281-4094-0;10.1109/CAC48633.2019.8996909;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8996909;"surface electromyography (sEMG);movement pattern recognition;the classical pattern recognition model;longterm use";"Pattern recognition;Testing;Protocols;Classification algorithms;Training;Electrodes;Control systems";;;;11;IEEE;13. Feb 20;;;IEEE;IEEE Conferences
Analysis of motor module transition from tremor to voluntary reaching movement in patients with Parkinson's disease;"M. Bai; M. Hao; N. Lan";"Laboratory of Neuro-Rehabilitation Engineering, School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; Laboratory of Neuro-Rehabilitation Engineering, School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; Laboratory of Neuro-Rehabilitation Engineering, School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China";2021 10th International IEEE/EMBS Conference on Neural Engineering (NER);02. Jun 21;2021;;;170;173;Voluntary movement could be initiated in spite of involuntary resting tremor in patients with Parkinson's disease (PD). It is unknown how the central nervous system (CNS) transits from the ongoing involuntary motor program of tremor to the execution of voluntary reaching movement. In this paper, muscle synergy analysis was used to unveil the motor module transitions from resting tremor to compound movement. Three tremor symptom dominant PD patients performed tasks of targeted forward reaching movements with background tremor. Kinematics and surface electromyography (EMG) of six muscles were recorded. Synergy vectors and time profiles were analyzed using EMG data during resting tremor and forward reaching. Results revealed that the representative vector of tremor remained unchanged during performance of voluntary movement. Other synergy vectors of tremor were modified to accommodate vectors of movement synergies. The merge of tremor module with movement module could be explained by a procedure of linear combination. The distribution of timing of movement initiation with respect to tremor cycle displayed a weak sign of clusters. The analysis suggested that the CNS combined two motor modules in order to initiate a voluntary movement with background tremor. More extensive analysis with a larger number of patients needs to be carried out to confirm these findings.;1948-3554;978-1-7281-4337-8;10.1109/NER49283.2021.9441369;"National Natural Science Foundation of China(grant numbers:61361160415,81271684); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9441369;;"Parkinson's disease;Neural engineering;Kinematics;Central nervous system;Muscles;Electromyography;Timing";;;;12;IEEE;02. Jun 21;;;IEEE;IEEE Conferences
A comparison of proportional control methods for pattern recognition control;"A. M. Simon; K. Stern; L. J. Hargrove";"Center of Bionic Medicine, Rehabilitation Institute of Chicago, Chicago, IL, USA; Feinberg School of Medicine, Northwestern University, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA";2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society;1 Dec 2011;2011;;;3354;3357;Few studies have focused on proportional control with multi-channel electromyographic (EMG) pattern recognition systems. In a simple proportional control algorithm, movement speed is often calculated by averaging the mean absolute values of all EMG channels. The aim of our study was to compare the performance of two types of pattern recognition control (simple proportional and binary on/off) to direct proportional control. Six EMG channels were collected from non-targeted forearm muscles of four healthy subjects. Subjects were prompted to perform eight medium force isometric repetitions of the following contractions: wrist flexion/extension, wrist pronation/supination, hand open/close, and no movement (rest). Control performances were measured during a one-dimensional position-tracking task using a custom-made graphical user interface. The results show that a simple proportional control algorithm for the pattern recognition system outperformed binary on/off control and was comparable to the performance achieved with direct proportional control.;1558-4615;978-1-4577-1589-1;10.1109/IEMBS.2011.6090909;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6090909;;"Proportional control;Pattern recognition;Electromyography;Wrist;Real time systems;Force;Muscles";"Electromyography;Humans";18;1;8;IEEE;1 Dec 2011;;;IEEE;IEEE Conferences
Body Motion Analysis for Similarity Retrieval of Motion Data and Its Evaluation;"W. Choi; T. Ono; K. Hachimura";"Kinugasa Research Organization, Ritsumeikan University, Kusatsu, Japan; College of Information Science and Engineering, Ritsumeikan University, Kusatsu, Japan; College of Information Science and Engineering, Ritsumeikan University, Kusatsu, Japan";2009 Fifth International Conference on Intelligent Information Hiding and Multimedia Signal Processing;17. Nov 09;2009;;;1177;1180;With the spread of motion capture systems, body motion data has been obtained without effort and quantity of its data has been increasing. We need an efficient method for target motion retrieval. In this paper, we propose the method of analyzing motion data in advance, and express the construction of movement with indexed labels for reducing similar-motion retrieval. The posture of each frame is distinguished into the pattern of the indexed labels, and we therefore try to index each motion data. Firstly, we reduce the number of dimensions of motion data with PCA (Principal Components Analysis) and do clustering. Next, a trained dictionary is consisted of the indexed motion data. Finally, SVM (Support Vector Machine) distinguishes the test data by using the dictionary. In this research, we made the trained dictionary from the movement of radio gymnastics, and then carried out an evaluation of discrimination by using break dance movement as test data. As a result, we could use the motion data with indexes, and obtained a good retrieval result in this experiment.;;978-1-4244-4717-6;10.1109/IIH-MSP.2009.174;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5337523;"Motion Data;Similarity Retrieval;Machine Learning";"Motion analysis;Information retrieval;Dictionaries;Principal component analysis;Testing;Support vector machines;Legged locomotion;Gravity;Multimedia systems;Signal processing";;5;;6;IEEE;17. Nov 09;;;IEEE;IEEE Conferences
